candidate,frequency,sample_product_names
Nutriline,26,Nutriline Chocoblobs | Nutriline Chocochips | Nutriline Chocograins | Nutriline Instant Oats
Delish,26,"Delish Cocoa Powder | Delish Corn Flour | Delish Jelly Crystals, Apple | Delish Jelly Crystals, Strawberry"
Lux,26,Lux Bouncy And Bright Glutathione Body Soap | Lux Bright Camellia Body Wash | Lux Magical Orchid Bodywash | Lux Smooth And Nourised Glutathione Body Soap
Chandanalepa,26,Chandanalepa Beauty Soap | Chandanalepa Cinnamon Herbal Soap | Chandanalepa Face Cream | Chandanalepa Herbal Scrub
Earth,26,Earth  Essence Moisturizer Body Lotion Exotic | Earth Essence Face Cream Herbal | Earth Essence Face Wash Herbal | Earth Essence Hair Shampoo
KIST,26,KIST Green Apple Juice | KIST Juice Orange Tetra Pack | KIST Mango Nectar | KIST Nectar Mixed Fruit
Mc Currie,25,Mc Currie Chinese Chilli Paste | Mc Currie Maldive Fish Sambol | Mc Currie Pineapple Chutney | Mc Currie Sprats Badum
Lanka Soy,25,Lanka Soy Chickosoy Chilli/Chi. | Lanka Soy Jaffna Curry Flavour | Lanka Soy Soya Mojuwa | Lanka Soy Vegesoy Polos Curry Flavour
Sozo,25,Sozo Ginger Lemonade | Sozo Lime Crush | Sozo Pani Dodang & Sea Salt | Sozo Raspberry & Hibiscus
Mas,25,Mas English Stew Roux | Mas Fenugreek Seeds | Mas Goraka | Mas Madras Curry Powder
Harpic,24,Harpic 10X Joyful Jasmine Disinfectant Toilet Cleaner | Harpic Fresh Floral Toilet Cleaner | Harpic Power Cleaner 10X | Harpic Power Plus Cleaner 5X
Bic,24,Bic 3 Razor | Bic Easy 2 Precision Razor | Bic Lighter | Bic Twin Lady Razor
Tong,24,"Tong Garden Coated Peanuts, Bbq Flavour | Tong Garden Coated Peanuts, Chicken Flavour | Tong Garden Coated Peanuts, Shrimp Flavour | Tong Garden Party Snack"
Tong Garden,24,"Tong Garden Coated Peanuts, Bbq Flavour | Tong Garden Coated Peanuts, Chicken Flavour | Tong Garden Coated Peanuts, Shrimp Flavour | Tong Garden Party Snack"
Wijaya,24,Wijaya Chilli Pieces | Wijaya Chilli Powder | Wijaya Curry Powder | Wijaya Roasted Curry Powder
Heladiv,24,Heladiv Ice Tea Syrup Lemon | Heladiv Ice Tea Syrup Lychee | Heladiv Ice Tea Syrup Peach | Heladiv Ice Tea Syrup Strawberry
Gills,24,Gills Chicken Bacon | Gills Chicken Ham Slices | Gills Fish Balls | Gills Fish Sausages
Nestle,23,Nestle Coffee Mate Hazelnut | Nestle Coffeemate Jar | Nestle Coffeemate Pouch | Nestle Nestum Original
